Pixel Count,Kernel Size,Clusters,Threads,Serial Time,Multithreaded Time,Distributed Time,Shared Time,Task Pool Time
25672152,3,8,8,-1.000000,-1.000000,0.222992,-1.000000,-1.000000
25672152,3,8,8,-1.000000,-1.000000,0.102767,-1.000000,-1.000000
25672152,3,8,8,-1.000000,-1.000000,0.239405,-1.000000,-1.000000
25672152,3,8,8,-1.000000,-1.000000,0.150022,-1.000000,-1.000000
25672152,3,8,8,-1.000000,-1.000000,0.164165,-1.000000,-1.000000
25672152,5,8,8,-1.000000,-1.000000,0.274171,-1.000000,-1.000000
25672152,5,8,8,-1.000000,-1.000000,0.175898,-1.000000,-1.000000
64000000,3,8,8,-1.000000,-1.000000,0.251146,-1.000000,-1.000000
64000000,3,8,8,-1.000000,-1.000000,0.361188,-1.000000,-1.000000
64000000,3,8,8,-1.000000,-1.000000,0.428777,-1.000000,-1.000000
64000000,3,8,8,-1.000000,-1.000000,0.289624,-1.000000,-1.000000
64000000,3,8,8,-1.000000,-1.000000,0.289384,-1.000000,-1.000000
64000000,5,8,8,-1.000000,-1.000000,0.468539,-1.000000,-1.000000
64000000,5,8,8,-1.000000,-1.000000,0.439503,-1.000000,-1.000000
211680000,3,8,8,-1.000000,-1.000000,0.961016,-1.000000,-1.000000
211680000,3,8,8,-1.000000,-1.000000,0.815604,-1.000000,-1.000000
211680000,3,8,8,-1.000000,-1.000000,0.794945,-1.000000,-1.000000
211680000,3,8,8,-1.000000,-1.000000,0.908869,-1.000000,-1.000000
211680000,3,8,8,-1.000000,-1.000000,1.024569,-1.000000,-1.000000
211680000,5,8,8,-1.000000,-1.000000,1.520696,-1.000000,-1.000000
211680000,5,8,8,-1.000000,-1.000000,1.317524,-1.000000,-1.000000
